invoice_number,pages_included,page_count,output_file
711547296,10;11,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_1_unique_invoice_pages/711547296.pdf
717768915,6;7;8,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_1_unique_invoice_pages/717768915.pdf
721114865,13;14;15;16,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_1_unique_invoice_pages/721114865.pdf
721510584,18;19,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Aug2025_1_unique_invoice_pages/721510584.pdf
