invoice_number,pages_included,page_count,output_file
712907929,5;6;7,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/712907929.pdf
713063249,33;34;35,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/713063249.pdf
717587921,20;21;22,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/717587921.pdf
721046365,9;10;11,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721046365.pdf
721428641,37;38;39,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721428641.pdf
721469513,17;18,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721469513.pdf
721602376,24;25;26,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721602376.pdf
721602377,28;29;30;31,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721602377.pdf
721604078,13;14;15,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721604078.pdf
721798994,1;2;3,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Oct2025_1_unique_invoice_pages/721798994.pdf
