invoice_number,pages_included,page_count,output_file
717239305,14;15;16;17,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/717239305.pdf
717314547,10;11;12,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/717314547.pdf
720822285,28;29;30,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/720822285.pdf
720898537,6;7;8,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/720898537.pdf
721590322,23;24;25;26,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/721590322.pdf
721710024,19;20;21,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/721710024.pdf
721918877,36;37;38,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/721918877.pdf
721967976,32;33;34,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/721967976.pdf
722095216,1;2;3;4,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_1_unique_invoice_pages/722095216.pdf
