invoice_number,pages_included,page_count,output_file
721997708,14;15;16;17,4,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_2_unique_invoice_pages/721997708.pdf
722148003,1;2,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_2_unique_invoice_pages/722148003.pdf
722148004,4;5;6,3,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_2_unique_invoice_pages/722148004.pdf
722155390,8;9,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_2_unique_invoice_pages/722155390.pdf
722155391,11;12,2,/Users/devinhayward/Desktop/ConcreteBot/output/pdf/Invoice_Dec2025_2_unique_invoice_pages/722155391.pdf
